image_names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
tallbuilding_a462023.jpg,0.4363098,0.07342529,0.07846069,0.07147217,0.0635376,0.15870667,0.10171509,0.01637268,0.03692627,0.05105591,0.1454773,0.23799133,0.34075928,0.080322266,0.09022522,0.017242432,0.037872314,0.046157837,0.06739807,0.15490723,0.19572449,0.27423096,0.21469116,0.009017944
tallbuilding_art1593.jpg,0.29736328,0.23551941,0.11054993,0.100616455,0.10232544,0.07597351,0.0554657,0.02218628,0.30888367,0.24224854,0.10229492,0.12283325,0.10636902,0.055480957,0.046554565,0.015335083,0.24049377,0.29263306,0.11457825,0.13475037,0.1113739,0.053634644,0.03944397,0.013092041
tallbuilding_art218.jpg,0.083618164,0.21659851,0.29496765,0.2858429,0.04864502,0.028533936,0.024368286,0.017425537,0.06071472,0.14875793,0.21670532,0.18902588,0.2631836,0.07067871,0.02746582,0.023468018,0.062698364,0.12464905,0.20280457,0.1330719,0.13911438,0.04852295,0.25271606,0.03642273
tallbuilding_art1011.jpg,0.0,0.058288574,0.11143494,0.26293945,0.25141907,0.18447876,0.08552551,0.045913696,0.00021362305,0.10014343,0.16296387,0.223526,0.22550964,0.22570801,0.052444458,0.009490967,0.0005187988,0.08999634,0.15426636,0.20394897,0.14741516,0.23213196,0.16590881,0.0058135986
tallbuilding_art525.jpg,0.019515991,0.16867065,0.23130798,0.16230774,0.16838074,0.15710449,0.06637573,0.02633667,0.022445679,0.10310364,0.20384216,0.23509216,0.19546509,0.16288757,0.07067871,0.0064849854,0.015426636,0.10006714,0.1390686,0.18861389,0.28399658,0.2062378,0.051452637,0.015136719
tallbuilding_a372007.jpg,0.04321289,0.09831238,0.1071167,0.14820862,0.2637024,0.24584961,0.08921814,0.0043792725,0.04005432,0.10606384,0.12023926,0.14199829,0.14091492,0.2944641,0.15457153,0.0016937256,0.061050415,0.15379333,0.1600647,0.10839844,0.062072754,0.088012695,0.3647766,0.0018310547
tallbuilding_a803053.jpg,0.085998535,0.39263916,0.2796173,0.08441162,0.09591675,0.05281067,0.007980347,0.00062561035,0.02293396,0.08062744,0.2367096,0.4725952,0.09806824,0.07585144,0.012435913,0.00077819824,0.014297485,0.03816223,0.095840454,0.1282196,0.10803223,0.32691956,0.28700256,0.0015258789
tallbuilding_a487098.jpg,0.073791504,0.08459473,0.1434784,0.21968079,0.17680359,0.13394165,0.14363098,0.02407837,0.09953308,0.13960266,0.1871643,0.16810608,0.044677734,0.13516235,0.15670776,0.06904602,0.0670166,0.03552246,0.09965515,0.17901611,0.2243805,0.056747437,0.08937073,0.24829102
tallbuilding_art1712.jpg,0.10247803,0.049942017,0.055496216,0.4046173,0.329422,0.04499817,0.012390137,0.00065612793,0.08332825,0.07460022,0.061843872,0.07495117,0.5070343,0.17910767,0.018615723,0.0005187988,0.049118042,0.14086914,0.07946777,0.06260681,0.09901428,0.08868408,0.45666504,0.02357483
tallbuilding_a462025.jpg,0.4134674,0.15065002,0.09539795,0.06958008,0.064071655,0.06364441,0.06800842,0.07518005,0.4152832,0.16157532,0.10713196,0.09063721,0.07345581,0.079315186,0.04698181,0.025619507,0.5988312,0.13648987,0.12864685,0.06661987,0.027740479,0.024658203,0.015029907,0.0019836426
